epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9364719390869141,0.0010000000474974513,0.186139315366745,0.9709677696228027,0.061275530606508255
1,0.9739081263542175,0.0010000000474974513,0.08119136840105057,0.9806451797485352,0.04554710537195206
2,0.9722064733505249,0.0010000000474974513,0.09955722838640213,0.9741935729980469,0.05369247496128082
3,0.9807146787643433,0.0010000000474974513,0.05841142684221268,0.9870967864990234,0.040862515568733215
4,0.9750425219535828,0.0010000000474974513,0.07701989263296127,0.9870967864990234,0.03420070931315422
5,0.978445827960968,0.0010000000474974513,0.0767529085278511,0.9838709831237793,0.03326908126473427
6,0.9841179847717285,0.0010000000474974513,0.0373089499771595,0.9838709831237793,0.03489038348197937
7,0.9818491339683533,0.0010000000474974513,0.05401880666613579,0.9741935729980469,0.0639844685792923
8,0.9869540333747864,0.0010000000474974513,0.0337882936000824,0.9903225898742676,0.022926075384020805
9,0.988655686378479,0.0010000000474974513,0.04170519858598709,0.9935483932495117,0.029212461784482002
